regMid,regEnd,Final,attendance,status
91,46,86,49,Summer course (low attendance)
51,50,52,97,FX  (retake opportunity)
86,30,0,92,Summer course (Final < 25)
79,91,13,97,Summer course (Final < 25)
82,8,20,55,Summer course (Final < 25)
32,43,15,94,Summer course (Final < 25)
15,11,79,96,Summer course (low mid/end)
42,13,55,73,Summer course (low mid/end)
31,19,4,82,Summer course (Final < 25)
67,71,63,80,Pass (after retake)
3,17,58,88,Summer course (low mid/end)
55,62,43,52,Summer course (low attendance)
70,93,51,58,Summer course (low attendance)
97,85,69,44,Summer course (low attendance)
49,51,60,83,FX  (retake opportunity)
47,49,47,42,Summer course (low attendance)
58,40,21,89,Summer course (Final < 25)
36,46,28,85,Summer course (Final < 25)
49,47,48,54,Summer course (low attendance)
22,4,8,82,Summer course (Final < 25)
45,28,26,59,Fail (total < 45)
95,33,7,60,Summer course (Final < 25)
38,53,36,96,Fail (total < 50)
43,53,0,80,Summer course (Final < 25)
71,72,61,93,Pass (after retake)
31,44,27,65,Fail (total < 50)
63,55,58,54,Summer course (low attendance)
31,37,29,96,Fail (total < 50)
49,56,53,60,FX  (retake opportunity)
100,92,56,46,Summer course (low attendance)
30,100,22,82,Summer course (Final < 25)
26,36,67,71,Summer course (low mid/end)
39,49,67,95,Summer course (low mid/end)
90,75,49,49,Summer course (low attendance)
91,60,69,52,Summer course (low attendance)
24,37,7,94,Summer course (Final < 25)
60,70,65,77,Pass (after retake)
77,63,10,91,Summer course (Final < 25)
40,41,79,77,Summer course (low mid/end)
87,83,83,90,Pass
62,52,1,63,Summer course (Final < 25)
34,18,76,81,Summer course (low mid/end)
79,62,47,58,Summer course (low attendance)
44,56,62,49,Summer course (low attendance)
53,21,0,55,Summer course (Final < 25)
8,21,9,64,Summer course (Final < 25)
80,91,14,69,Summer course (Final < 25)
79,60,18,84,Summer course (Final < 25)
72,83,84,40,Summer course (low attendance)
85,96,65,43,Summer course (low attendance)
43,36,33,79,Fail (total < 50)
1,2,75,93,Summer course (low mid/end)
62,57,69,93,Pass (after retake)
11,15,14,87,Summer course (Final < 25)
46,70,0,100,Summer course (Final < 25)
69,65,68,75,Pass (after retake)
96,41,50,51,Summer course (low attendance)
80,79,73,91,Pass
30,40,58,73,Summer course (low mid/end)
42,3,52,91,Summer course (low mid/end)
59,61,54,83,FX  (retake opportunity)
55,55,58,90,FX  (retake opportunity)
55,50,55,91,FX  (retake opportunity)
12,31,68,85,Summer course (low mid/end)
97,93,92,98,Scholarship
62,56,58,87,FX  (retake opportunity)
66,57,62,99,Pass (after retake)
69,61,68,73,Pass (after retake)
55,55,50,86,FX  (retake opportunity)
14,14,4,71,Fail (total < 45)
49,42,30,79,Fail (total < 45)
17,33,74,88,Summer course (low mid/end)
51,54,54,70,FX  (retake opportunity)
15,15,80,74,Summer course (low mid/end)
34,15,69,77,Summer course (low mid/end)
58,51,53,71,FX  (retake opportunity)
59,56,73,95,Pass (after retake)
52,47,2,83,Summer course (Final < 25)
1,75,28,61,Summer course (Final < 25)
58,48,55,80,FX  (retake opportunity)
72,10,21,98,Summer course (Final < 25)
32,32,52,67,Summer course (low mid/end)
88,44,49,48,Summer course (low attendance)
87,87,79,84,Pass
87,69,88,82,Pass
65,96,13,80,Summer course (Final < 25)
45,0,57,94,Summer course (low mid/end)
84,82,60,52,Summer course (low attendance)
15,49,59,74,Summer course (low mid/end)
62,66,64,91,Pass (after retake)
87,52,18,87,Summer course (Final < 25)
28,45,50,85,Summer course (low mid/end)
62,63,73,97,Pass (after retake)
56,65,64,73,Pass (after retake)
46,66,51,46,Summer course (low attendance)
13,20,78,79,Summer course (low mid/end)
80,79,71,99,Pass
8,34,12,73,Summer course (Final < 25)
87,35,3,61,Summer course (Final < 25)
66,91,6,65,Summer course (Final < 25)
25,57,26,76,Summer course (Final < 25)
62,59,62,94,Pass (after retake)
27,4,71,71,Summer course (low mid/end)
3,94,5,93,Summer course (Final < 25)
81,99,92,59,Summer course (low attendance)
5,19,49,82,Summer course (low mid/end)
80,84,88,46,Summer course (low attendance)
53,93,100,44,Summer course (low attendance)
36,30,11,70,Summer course (Final < 25)
32,37,37,68,Fail (total < 50)
64,58,65,85,Pass (after retake)
75,65,17,62,Summer course (Final < 25)
49,37,1,85,Summer course (Final < 25)
46,20,71,85,Summer course (low mid/end)
57,57,74,58,Summer course (low attendance)
62,65,71,94,Pass (after retake)
82,78,17,80,Summer course (Final < 25)
28,16,18,85,Summer course (Final < 25)
54,12,0,94,Summer course (Final < 25)
2,41,60,84,Summer course (low mid/end)
17,5,19,70,Fail (total < 45)
17,17,76,79,Summer course (low mid/end)
77,67,84,42,Summer course (low attendance)
96,89,15,96,Summer course (Final < 25)
59,55,96,49,Summer course (low attendance)
51,54,52,84,FX  (retake opportunity)
45,0,9,76,Summer course (Final < 25)
49,55,60,78,FX  (retake opportunity)
69,85,17,68,Summer course (Final < 25)
16,37,13,54,Summer course (Final < 25)
45,52,46,86,FX  (retake opportunity)
37,68,19,92,Summer course (Final < 25)
14,35,71,72,Summer course (low mid/end)
51,28,3,80,Summer course (Final < 25)
74,53,80,40,Summer course (low attendance)
1,6,20,92,Summer course (Final < 25)
56,48,50,94,FX  (retake opportunity)
1,1,47,98,Summer course (low mid/end)
88,86,21,70,Summer course (Final < 25)
97,69,4,75,Summer course (Final < 25)
38,32,76,90,Summer course (low mid/end)
5,19,67,85,Summer course (low mid/end)
14,17,23,70,Summer course (Final < 25)
62,55,66,50,Summer course (low attendance)
100,89,95,99,Scholarship
48,1,55,74,Summer course (low mid/end)
33,20,82,95,Summer course (low mid/end)
89,74,13,89,Summer course (Final < 25)
74,85,92,44,Summer course (low attendance)
26,39,40,71,Fail (total < 50)
24,51,27,48,Fail (total < 45)
18,79,10,77,Summer course (Final < 25)
20,29,0,56,Summer course (Final < 25)
70,35,9,66,Summer course (Final < 25)
89,80,67,48,Summer course (low attendance)
52,50,55,87,FX  (retake opportunity)
60,37,7,65,Summer course (Final < 25)
25,48,80,85,Summer course (low mid/end)
35,16,43,42,Fail (total < 45)
60,56,53,91,FX  (retake opportunity)
58,72,15,89,Summer course (Final < 25)
25,0,79,91,Summer course (low mid/end)
50,17,19,59,Summer course (Final < 25)
70,66,68,97,Pass (after retake)
73,72,57,42,Summer course (low attendance)
23,10,75,75,Summer course (low mid/end)
87,83,72,88,Pass
87,77,10,97,Summer course (Final < 25)
92,88,25,98,Summer course (Final < 25)
7,23,0,86,Summer course (Final < 25)
24,48,71,100,Summer course (low mid/end)
98,81,17,62,Summer course (Final < 25)
52,34,52,90,Summer course (low mid/end)
23,46,55,81,Summer course (low mid/end)
61,67,68,95,Pass (after retake)
7,13,40,65,Fail (total < 45)
74,67,78,41,Summer course (low attendance)
43,29,70,84,Summer course (low mid/end)
77,6,11,55,Summer course (Final < 25)
62,51,48,98,FX  (retake opportunity)
63,68,62,78,Pass (after retake)
65,59,92,42,Summer course (low attendance)
49,44,59,56,Summer course (low attendance)
66,60,10,66,Summer course (Final < 25)
22,1,64,71,Summer course (low mid/end)
18,96,6,85,Summer course (Final < 25)
17,17,75,72,Summer course (low mid/end)
30,72,6,96,Summer course (Final < 25)
38,50,74,82,Summer course (low mid/end)
94,45,70,43,Summer course (low attendance)
68,67,59,97,Pass (after retake)
59,24,18,90,Summer course (Final < 25)
70,95,13,97,Summer course (Final < 25)
2,75,8,57,Summer course (Final < 25)
41,30,44,99,Fail (total < 50)
26,8,71,90,Summer course (low mid/end)
46,42,63,77,Summer course (low mid/end)
51,39,29,69,Fail (total < 50)
57,91,41,42,Summer course (low attendance)
57,58,96,60,Summer course (low attendance)
40,79,12,96,Summer course (Final < 25)
51,54,45,51,Summer course (low attendance)
41,21,6,57,Summer course (Final < 25)
68,44,18,93,Summer course (Final < 25)
38,49,38,71,Fail (total < 50)
55,54,1,74,Summer course (Final < 25)
96,100,96,41,Summer course (low attendance)
65,74,21,52,Summer course (Final < 25)
93,79,50,56,Summer course (low attendance)
87,65,44,59,Summer course (low attendance)
11,26,79,89,Summer course (low mid/end)
3,78,17,82,Summer course (Final < 25)
67,85,82,82,Pass
55,61,97,46,Summer course (low attendance)
62,86,15,87,Summer course (Final < 25)
74,88,88,44,Summer course (low attendance)
66,74,4,58,Summer course (Final < 25)
59,57,12,95,Summer course (Final < 25)
65,68,61,90,Pass (after retake)
3,67,24,77,Summer course (Final < 25)
54,70,66,40,Summer course (low attendance)
46,58,62,62,FX  (retake opportunity)
62,65,58,87,Pass (after retake)
46,4,0,62,Summer course (Final < 25)
88,60,44,43,Summer course (low attendance)
54,55,54,66,FX  (retake opportunity)
20,45,50,78,Summer course (low mid/end)
1,9,63,79,Summer course (low mid/end)
50,50,59,92,FX  (retake opportunity)
65,66,60,95,Pass (after retake)
94,88,7,90,Summer course (Final < 25)
56,54,51,97,FX  (retake opportunity)
59,76,41,47,Summer course (low attendance)
67,6,17,52,Summer course (Final < 25)
15,20,60,87,Summer course (low mid/end)
36,11,74,100,Summer course (low mid/end)
56,60,48,68,FX  (retake opportunity)
10,66,8,94,Summer course (Final < 25)
39,16,56,70,Summer course (low mid/end)
47,24,69,93,Summer course (low mid/end)
33,28,72,82,Summer course (low mid/end)
63,65,66,74,Pass (after retake)
62,63,65,87,Pass (after retake)
37,43,35,69,Fail (total < 50)
37,26,14,81,Summer course (Final < 25)
10,32,75,84,Summer course (low mid/end)
64,68,70,86,Pass (after retake)
32,7,77,76,Summer course (low mid/end)
74,80,83,97,Pass
61,68,64,76,Pass (after retake)
16,26,53,93,Summer course (low mid/end)
62,69,62,82,Pass (after retake)
76,69,52,45,Summer course (low attendance)
79,76,85,85,Pass
43,40,22,70,Fail (total < 45)
100,30,27,61,Summer course (Final < 25)
37,39,33,74,Fail (total < 50)
48,26,42,80,Fail (total < 50)
68,62,62,94,Pass (after retake)
98,5,10,51,Summer course (Final < 25)
59,68,63,86,Pass (after retake)
46,4,46,84,Summer course (low mid/end)
34,66,4,69,Summer course (Final < 25)
86,42,4,100,Summer course (Final < 25)
59,43,4,93,Summer course (Final < 25)
30,23,65,74,Summer course (low mid/end)
20,11,73,86,Summer course (low mid/end)
49,52,47,90,FX  (retake opportunity)
45,38,50,96,Summer course (low mid/end)
55,70,11,73,Summer course (Final < 25)
27,29,61,85,Summer course (low mid/end)
6,83,17,87,Summer course (Final < 25)
46,97,74,41,Summer course (low attendance)
66,81,81,47,Summer course (low attendance)
86,78,68,86,Pass
53,77,89,49,Summer course (low attendance)
41,27,67,77,Summer course (low mid/end)
59,69,61,94,Pass (after retake)
42,69,0,97,Summer course (Final < 25)
16,48,27,84,Summer course (Final < 25)
64,73,64,84,Pass (after retake)
61,40,92,59,Summer course (low attendance)
59,65,63,88,Pass (after retake)
93,70,66,46,Summer course (low attendance)
29,33,33,95,Fail (total < 50)
18,36,74,71,Summer course (low mid/end)
62,63,72,93,Pass (after retake)
59,58,53,93,FX  (retake opportunity)
56,48,54,99,FX  (retake opportunity)
80,72,83,86,Pass
86,70,76,43,Summer course (low attendance)
41,42,42,81,Fail (total < 50)
55,50,60,72,FX  (retake opportunity)
34,42,43,85,Fail (total < 50)
83,78,72,82,Pass
23,74,23,61,Summer course (Final < 25)
97,99,75,47,Summer course (low attendance)
57,3,0,55,Summer course (Final < 25)
49,39,49,88,Fail (total < 50)
63,70,64,69,Pass (after retake)
26,33,6,76,Summer course (Final < 25)
32,38,63,94,Summer course (low mid/end)
87,87,56,54,Summer course (low attendance)
95,38,83,46,Summer course (low attendance)
26,55,21,71,Summer course (Final < 25)
46,59,67,54,Summer course (low attendance)
72,70,70,97,Pass (after retake)
83,86,92,83,Pass
47,55,60,49,Summer course (low attendance)
88,57,70,47,Summer course (low attendance)
56,91,2,72,Summer course (Final < 25)
66,69,61,82,Pass (after retake)
54,73,20,56,Summer course (Final < 25)
51,54,89,50,Summer course (low attendance)
63,62,56,88,Pass (after retake)
41,60,10,56,Summer course (Final < 25)
96,95,100,94,Scholarship
79,78,78,87,Pass
42,22,49,87,Summer course (low mid/end)
19,89,9,64,Summer course (Final < 25)
2,89,0,73,Summer course (Final < 25)
49,47,88,41,Summer course (low attendance)
70,60,64,76,Pass (after retake)
51,89,80,46,Summer course (low attendance)
8,29,39,78,Fail (total < 45)
63,74,71,55,Summer course (low attendance)
84,79,77,84,Pass
39,36,56,94,Summer course (low mid/end)
94,42,2,68,Summer course (Final < 25)
53,36,60,71,Summer course (low mid/end)
31,93,15,91,Summer course (Final < 25)
64,59,67,91,Pass (after retake)
35,23,25,98,Summer course (Final < 25)
55,54,49,87,FX  (retake opportunity)
51,43,46,95,Fail (total < 50)
48,46,66,47,Summer course (low attendance)
33,29,39,82,Fail (total < 50)
2,49,53,87,Summer course (low mid/end)
74,58,24,51,Summer course (Final < 25)
45,34,44,61,Fail (total < 50)
71,59,69,78,Pass (after retake)
84,74,47,57,Summer course (low attendance)
32,13,36,71,Fail (total < 45)
70,75,72,41,Summer course (low attendance)
61,86,13,61,Summer course (Final < 25)
38,44,44,62,Fail (total < 50)
41,25,70,90,Summer course (low mid/end)
33,20,51,94,Summer course (low mid/end)
96,81,46,56,Summer course (low attendance)
41,28,60,81,Summer course (low mid/end)
90,81,75,40,Summer course (low attendance)
35,44,36,79,Fail (total < 50)
69,85,39,54,Summer course (low attendance)
58,59,58,81,FX  (retake opportunity)
73,71,17,76,Summer course (Final < 25)
56,60,48,62,FX  (retake opportunity)
8,26,54,89,Summer course (low mid/end)
85,52,80,50,Summer course (low attendance)
49,46,73,78,Summer course (low mid/end)
57,53,52,64,FX  (retake opportunity)
64,45,63,54,Summer course (low attendance)
81,73,77,93,Pass
43,15,15,81,Summer course (Final < 25)
80,38,55,53,Summer course (low attendance)
36,17,64,74,Summer course (low mid/end)
57,92,64,52,Summer course (low attendance)
9,48,69,78,Summer course (low mid/end)
35,31,25,61,Summer course (Final < 25)
7,17,69,82,Summer course (low mid/end)
56,52,55,81,FX  (retake opportunity)
37,27,73,82,Summer course (low mid/end)
47,91,45,51,Summer course (low attendance)
64,57,50,82,FX  (retake opportunity)
75,87,80,43,Summer course (low attendance)
15,40,7,93,Summer course (Final < 25)
69,100,14,87,Summer course (Final < 25)
45,32,68,95,Summer course (low mid/end)
74,80,75,79,Pass
93,74,11,85,Summer course (Final < 25)
87,78,78,44,Summer course (low attendance)
79,90,72,88,Pass
13,40,49,70,Summer course (low mid/end)
49,69,86,41,Summer course (low attendance)
54,58,60,84,FX  (retake opportunity)
38,12,67,73,Summer course (low mid/end)
10,39,61,76,Summer course (low mid/end)
46,0,77,86,Summer course (low mid/end)
34,1,56,76,Summer course (low mid/end)
47,44,37,73,Fail (total < 50)
62,54,51,61,FX  (retake opportunity)
65,69,6,67,Summer course (Final < 25)
83,72,87,44,Summer course (low attendance)
4,28,19,40,Fail (total < 45)
0,22,46,81,Summer course (low mid/end)
43,37,44,91,Fail (total < 50)
8,5,66,68,Summer course (low mid/end)
28,55,4,84,Summer course (Final < 25)
33,43,79,79,Summer course (low mid/end)
70,66,66,71,Pass (after retake)
70,71,66,86,Pass (after retake)
56,54,58,80,FX  (retake opportunity)
64,67,60,79,Pass (after retake)
50,47,56,58,FX  (retake opportunity)
62,41,14,79,Summer course (Final < 25)
58,56,10,88,Summer course (Final < 25)
43,47,38,62,Fail (total < 50)
77,90,89,92,Pass
12,45,16,96,Summer course (Final < 25)
40,5,41,65,Fail (total < 45)
62,72,68,95,Pass (after retake)
88,87,82,42,Summer course (low attendance)
99,11,9,73,Summer course (Final < 25)
14,33,82,77,Summer course (low mid/end)
30,32,61,95,Summer course (low mid/end)
48,70,11,79,Summer course (Final < 25)
20,36,45,83,Summer course (low mid/end)
38,41,42,94,Fail (total < 50)
73,78,64,40,Summer course (low attendance)
37,53,32,81,Fail (total < 50)
69,70,65,84,Pass (after retake)
44,3,69,72,Summer course (low mid/end)
83,74,79,91,Pass
8,46,50,86,Summer course (low mid/end)
67,6,17,91,Summer course (Final < 25)
74,81,86,81,Pass
22,38,51,84,Summer course (low mid/end)
99,85,13,66,Summer course (Final < 25)
84,0,8,51,Summer course (Final < 25)
30,34,48,62,Fail (total < 50)
37,46,26,81,Fail (total < 50)
13,32,67,81,Summer course (low mid/end)
58,68,60,73,Pass (after retake)
5,26,7,67,Summer course (Final < 25)
96,60,66,50,Summer course (low attendance)
52,54,63,74,FX  (retake opportunity)
62,65,65,96,Pass (after retake)
74,81,85,52,Summer course (low attendance)
22,52,78,81,Summer course (low mid/end)
49,43,18,55,Summer course (Final < 25)
73,62,66,75,Pass (after retake)
97,76,46,43,Summer course (low attendance)
31,46,42,90,Fail (total < 50)
96,77,48,47,Summer course (low attendance)
59,67,82,50,Summer course (low attendance)
8,14,77,98,Summer course (low mid/end)
41,62,18,96,Summer course (Final < 25)
46,47,61,75,Summer course (low mid/end)
13,26,54,79,Summer course (low mid/end)
69,66,64,97,Pass (after retake)
30,33,75,98,Summer course (low mid/end)
44,59,67,49,Summer course (low attendance)
2,48,45,68,Fail (total < 45)
23,21,17,55,Fail (total < 45)
36,31,53,98,Summer course (low mid/end)
39,44,67,74,Summer course (low mid/end)
58,55,57,80,FX  (retake opportunity)
39,30,27,99,Fail (total < 50)
31,4,59,82,Summer course (low mid/end)
45,46,54,67,Summer course (low mid/end)
57,76,95,45,Summer course (low attendance)
14,24,60,97,Summer course (low mid/end)
75,66,57,61,Summer course (low attendance)
85,88,70,55,Summer course (low attendance)
21,19,83,100,Summer course (low mid/end)
32,39,40,43,Fail (total < 45)
72,72,72,93,Pass
35,2,25,48,Fail (total < 45)
29,71,4,100,Summer course (Final < 25)
35,74,2,76,Summer course (Final < 25)
58,61,62,83,Pass (after retake)
15,0,54,98,Summer course (low mid/end)
0,53,22,70,Fail (total < 45)
79,58,76,53,Summer course (low attendance)
60,79,16,52,Summer course (Final < 25)
41,31,32,78,Fail (total < 50)
50,48,43,75,Fail (total < 50)
15,41,50,100,Summer course (low mid/end)
85,33,18,89,Summer course (Final < 25)
2,87,8,99,Summer course (Final < 25)
50,23,41,44,Fail (total < 45)
92,53,50,45,Summer course (low attendance)
86,90,70,51,Summer course (low attendance)
100,94,56,56,Summer course (low attendance)
33,27,39,69,Fail (total < 50)
94,93,94,98,Scholarship
96,99,90,100,Scholarship
90,91,90,98,Scholarship
99,99,100,97,Scholarship
95,99,100,100,Scholarship
90,95,94,100,Scholarship
96,91,90,100,Scholarship
96,98,91,98,Scholarship
96,92,95,97,Scholarship
99,100,100,97,Scholarship
94,91,97,100,Scholarship
97,96,95,95,Scholarship
97,90,97,97,Scholarship
91,97,99,98,Scholarship
93,96,94,98,Scholarship
95,94,90,97,Scholarship
99,98,98,99,Scholarship
92,95,94,95,Scholarship
91,94,98,98,Scholarship
93,98,92,95,Scholarship
44,39,43,98,Fail (total < 50)
33,34,33,94,Fail (total < 50)
46,42,35,96,Fail (total < 50)
45,40,30,64,Fail (total < 50)
35,39,34,92,Fail (total < 50)
39,46,40,62,Fail (total < 50)
31,46,33,93,Fail (total < 50)
34,39,30,85,Fail (total < 50)
30,33,36,73,Fail (total < 50)
43,47,31,60,Fail (total < 50)
45,47,41,87,Fail (total < 50)
35,39,31,66,Fail (total < 50)
46,32,33,61,Fail (total < 50)
36,46,32,71,Fail (total < 50)
38,43,31,80,Fail (total < 50)
33,48,34,81,Fail (total < 50)
46,31,30,78,Fail (total < 50)
37,49,35,71,Fail (total < 50)
47,31,32,83,Fail (total < 50)
39,32,38,87,Fail (total < 50)
59,57,54,70,FX  (retake opportunity)
59,52,56,97,FX  (retake opportunity)
52,54,56,91,FX  (retake opportunity)
53,51,59,91,FX  (retake opportunity)
51,52,57,92,FX  (retake opportunity)
56,55,51,68,FX  (retake opportunity)
54,51,52,66,FX  (retake opportunity)
56,59,50,85,FX  (retake opportunity)
53,55,57,91,FX  (retake opportunity)
52,52,57,83,FX  (retake opportunity)
57,50,57,77,FX  (retake opportunity)
58,56,57,77,FX  (retake opportunity)
53,56,55,98,FX  (retake opportunity)
50,57,56,79,FX  (retake opportunity)
50,57,59,67,FX  (retake opportunity)
59,50,54,84,FX  (retake opportunity)
54,59,52,68,FX  (retake opportunity)
53,53,57,66,FX  (retake opportunity)
54,55,52,74,FX  (retake opportunity)
55,57,59,75,FX  (retake opportunity)
